bmrb_id,str_path,status,n_points,record_type,out_txt,name,inchi,inchikey,smiles
bmse000143,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000143/bmse000143.str,no_1H_data_found,0,,,5-Acetylamido-2-chloroaniline,,,
bmse000144,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000144/bmse000144.str,no_1H_data_found,0,,,Dihydroxyacetone,,,
bmse000145,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000145/bmse000145.str,no_1H_data_found,0,,,N-acetyl-L-Glutamine,,,
bmse000146,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000146/bmse000146.str,no_1H_data_found,0,,,N-(2-Acetamido)iminodiacetic acid,,,
bmse000147,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000147/bmse000147.str,no_1H_data_found,0,,,4-Aminoantipyrine,,,
bmse000148,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000148/bmse000148.str,no_1H_data_found,0,,,Diethyl oxalacetate,,,
bmse000150,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000150/bmse000150.str,no_1H_data_found,0,,,4-Hydroxycinnamic acid,,,
bmse000151,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000151/bmse000151.str,no_1H_data_found,0,,,alpha-D-Galactose 1-phosphate,,,
bmse000152,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000152/bmse000152.str,no_1H_data_found,0,,,Trigonelline,,,
bmse000153,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000153/bmse000153.str,no_1H_data_found,0,,,L-methionine methylsulfonium iodide,,,
bmse000154,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000154/bmse000154.str,no_1H_data_found,0,,,4-(2-Aminoethyl)morpholine,,,
bmse000155,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000155/bmse000155.str,no_1H_data_found,0,,,Creatinine,,,
bmse000156,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000156/bmse000156.str,no_1H_data_found,0,,,trimethyl phosphonoacetate,,,
bmse000157,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000157/bmse000157.str,no_1H_data_found,0,,,N-Acetyl-L-Alanine,,,
bmse000158,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000158/bmse000158.str,no_1H_data_found,0,,,Uridine,,,
